kode_bps,nama_bps,kode_dagri,nama_dagri
1101,SIMEULUE,11.09,KAB. SIMEULUE
1102,ACEH SINGKIL,11.1,KAB. ACEH SINGKIL
1103,ACEH SELATAN,11.01,KAB. ACEH SELATAN
1104,ACEH TENGGARA,11.02,KAB. ACEH TENGGARA
1105,ACEH TIMUR,11.03,KAB. ACEH TIMUR
1106,ACEH TENGAH,11.04,KAB. ACEH TENGAH
1107,ACEH BARAT,11.05,KAB. ACEH BARAT
1108,ACEH BESAR,11.06,KAB. ACEH BESAR
1109,PIDIE,11.07,KAB. PIDIE
1110,BIREUEN,11.11,KAB. BIREUEN
1111,ACEH UTARA,11.08,KAB. ACEH UTARA
1112,ACEH BARAT DAYA,11.12,KAB. ACEH BARAT DAYA
1113,GAYO LUES,11.13,KAB. GAYO LUES
1114,ACEH TAMIANG,11.16,KAB. ACEH TAMIANG
1115,NAGAN RAYA,11.15,KAB. NAGAN RAYA
1116,ACEH JAYA,11.14,KAB. ACEH JAYA
1117,BENER MERIAH,11.17,KAB. BENER MERIAH
1118,PIDIE JAYA,11.18,KAB. PIDIE JAYA
1171,BANDA ACEH,11.71,KOTA BANDA ACEH
1172,SABANG,11.72,KOTA SABANG
1173,LANGSA,11.74,KOTA LANGSA
1174,LHOKSEUMAWE,11.73,KOTA LHOKSEUMAWE
1175,SUBULUSSALAM,11.75,KOTA SUBULUSSALAM
1201,NIAS,12.04,KAB. NIAS
1202,MANDAILING NATAL,12.13,KAB. MANDAILING NATAL
1203,TAPANULI SELATAN,12.03,KAB. TAPANULI SELATAN
1204,TAPANULI TENGAH,12.01,KAB. TAPANULI TENGAH
1205,TAPANULI UTARA,12.02,KAB. TAPANULI UTARA
1206,TOBA SAMOSIR,12.12,KAB. TOBA SAMOSIR
1207,LABUHAN BATU,12.1,KAB. LABUHANBATU
1208,ASAHAN,12.09,KAB. ASAHAN
1209,SIMALUNGUN,12.08,KAB. SIMALUNGUN
1210,DAIRI,12.11,KAB. DAIRI
1211,KARO,12.06,KAB. KARO
1212,DELI SERDANG,12.07,KAB. DELI SERDANG
1213,LANGKAT,12.05,KAB. LANGKAT
1214,NIAS SELATAN,12.14,KAB. NIAS SELATAN
1215,HUMBANG HASUNDUTAN,12.16,KAB. HUMBANG HASUNDUTAN
1216,PAKPAK BHARAT,12.15,KAB. PAKPAK BHARAT
1217,SAMOSIR,12.17,KAB. SAMOSIR
1218,SERDANG BEDAGAI,12.18,KAB. SERDANG BEDAGAI
1219,BATU BARA,12.19,KAB. BATU BARA
1220,PADANG LAWAS UTARA,12.2,KAB. PADANG LAWAS UTARA
1221,PADANG LAWAS,12.21,KAB. PADANG LAWAS
1222,LABUHAN BATU SELATAN,12.22,KAB. LABUHANBATU SELATAN
