kode_bps,nama_bps,kode_dagri,nama_dagri
1118030,BANDAR DUA,11.18.04,BANDAR DUA
1118040,JANGKA BUYA,11.18.03,JANGKA BUAYA
1118050,ULIM,11.18.02,ULIM
1118060,TRIENGGADENG,11.18.08,TRIENGGADENG
1118070,PANTERAJA,11.18.07,PANTERAJA
1118080,BANDAR BARU,11.18.06,BANDAR BARU
1171010,MEURAXA,11.71.03,MEURAXA
1171011,JAYA BARU,11.71.08,JAYA BARU
1171012,BANDA RAYA,11.71.07,BANDA RAYA
1171020,BAITURRAHMAN,11.71.01,BAITURRAHMAN
1171021,LUENG BATA,11.71.05,LUENG BATA
1171030,KUTA ALAM,11.71.02,KUTA ALAM
1171031,KUTA RAJA,11.71.06,KUTA RAJA
1171040,SYIAH KUALA,11.71.04,SYIAH KUALA
1171041,ULEE KARENG,11.71.09,ULEE KARENG
1172010,SUKAJAYA,11.72.02,SUKAJAYA
1172020,SUKAKARYA,11.72.01,SUKAKARYA
1173010,LANGSA TIMUR,11.74.01,LANGSA TIMUR
1173011,LANGSA LAMA,11.74.04,LANGSA LAMA
1173020,LANGSA BARAT,11.74.02,LANGSA BARAT
1173021,LANGSA BARO,11.74.05,LANGSA BARO
1173030,LANGSA KOTA,11.74.03,LANGSA KOTA
1174010,BLANG MANGAT,11.73.03,BLANG MANGAT
1174020,MUARA DUA,11.73.01,MUARA DUA
1174021,MUARA SATU,11.73.04,MUARA SATU
1174030,BANDA SAKTI,11.73.02,BANDA SAKTI
1175010,SIMPANG KIRI,11.75.01,SIMPANG KIRI
1175020,PENANGGALAN,11.75.02,PENANGGALAN
1175030,RUNDENG,11.75.03,RUNDENG
1175040,SULTAN DAULAT,11.75.04,SULTAN DAULAT
1175050,LONGKIB,11.75.05,LONGKIB
1201060,IDANO GAWO,12.04.10,IDANOGAWO
1201061,BAWOLATO,12.04.11,BAWOLATO
1201062,ULUGAWO,12.04.27,ULUGAWO
1201070,GIDO,12.04.06,GIDO
1201071,SOGAEADU,12.04.35,SOGAE'ADU
1201081,MA U,12.04.28,MA'U
1201082,SOMOLO - MOLO,12.04.29,SOMOLO-MOLO
1201130,HILIDUHO,12.04.05,HILIDUHO
1201131,HILI SERANGKAI,12.04.20,HILISERANGKAI
1201132,BOTOMUZOI,12.04.21,BOTOMUZOI
1202010,BATAHAN,12.13.15,BATAHAN
1202011,SINUNUKAN,12.13.22,SINUNUKAN
1202020,BATANG NATAL,12.13.13,BATANG NATAL
1202021,LINGGA BAYU,12.13.14,LINGGA BAYU
1202022,RANTO BAEK,12.13.18,RANTO BAEK
1202030,KOTANOPAN,12.13.08,KOTANOPAN
1202031,ULU PUNGKUT,12.13.11,ULU PUNGKUT
1202032,TAMBANGAN,12.13.10,TAMBANGAN
1202033,LEMBAH SORIK MARAPI,12.13.09,LEMBAH SORIK MARAPI
1202034,PUNCAK SORIK MARAPI,12.13.20,PUNCAK SORIK MARAPI
1202040,MUARA SIPONGI,12.13.12,MUARA SIPONGI
1202041,PAKANTAN,12.13.21,PAKANTAN
1202050,PANYABUNGAN,12.13.01,PANYABUNGAN
1202051,PANYABUNGAN SELATAN,12.13.04,PANYABUNGAN SELATAN
1202052,PANYABUNGAN BARAT,12.13.05,PANYABUNGAN BARAT
1202053,PANYABUNGAN UTARA,12.13.02,PANYABUNGAN UTARA
1202054,PANYABUNGAN TIMUR,12.13.03,PANYABUNGAN TIMUR
1202055,HUTA BARGOT,12.13.19,HUTA BARGOT
1202060,NATAL,12.13.16,NATAL
1202070,MUARA BATANG GADIS,12.13.17,MUARA BATANG GADIS
1202080,SIABU,12.13.06,SIABU
1202081,BUKIT MALINTANG,12.13.07,BUKIT MALINTANG
1202082,NAGA JUANG,12.13.23,NAGA JUANG
1203010,BATANG ANGKOLA,12.03.07,BATANG ANGKOLA
1203011,SAYUR MATINGGI,12.03.21,SAYUR MATINGGI
1203012,TANO TOMBANGAN ANGKOLA,12.03.30,TANO TOMBANGAN
1203013,ANGKOLA MUARA TAIS,12.03.32,ANGKOLA MUARA TAIS
1203070,ANGKOLA TIMUR,12.03.03,ANGKOLA TIMUR
1203080,ANGKOLA SELATAN,12.03.06,ANGKOLA SELATAN
1203090,ANGKOLA  BARAT,12.03.01,ANGKOLA BARAT
1203091,ANGKOLA SANGKUNUR,12.03.31,ANGKOLA SANGKUNUR
1203100,BATANG TORU,12.03.02,BATANG TORU
1203101,MARANCAR,12.03.20,MARANCAR
